*****************************
*** Declaration key words ***
*****************************

class|Declare class|<html>Declare the class in ASM files:<br><table border=1><tr><td>class &lt;ClassCompleteName&gt;</td></tr></table></html>
DSTORE|Store in local variable|<html> Description : Store double to local variable<br> Syntax :<br> <table border=1><tr><td>DSTORE &lt;name&gt;</td></tr></table><br> Where : <ul> <li>name : Current method variable name OR current method parameter name</li> </ul> Operand stack : <table border=1><tr><td>...,value => ...</td></tr></table><br> Where : <ul> <li>value : value to store in the method variable or parameter</li> </ul></html>
DSUB|Subtraction of double|<html> Description : Subtract double<br> Syntax :<br> <table border=1><tr><td>DSUB</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first double</li> <li>value2 : second double</li> <li>result : subtraction result (double)</li> </ul></html>
DUP|Duplicate stack|<html> Description : Duplicate the top operand stack value<br> Syntax :<br> <table border=1><tr><td>DUP</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value => ..., value, value</td></tr></table><br> Where : <ul> <li>value : value to duplicate</li> </ul> <br> Details: Value can't be a double or long</html>
DUP_X1|Duplicate stack|<html> Description : Duplicate the top operand stack value and insert two values down<br> Syntax :<br> <table border=1><tr><td>DUP_X1</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value2, value1 => ..., value1, value2, value1</td></tr></table><br> Where : <ul> <li>value1 : value to duplicate</li> <li>value2 : value to just move</li> </ul> <br> Details: value1 and value2 can't be double or long</html>
DUP_X2|Duplicate stack|<html> Description : Duplicate the top operand stack value and insert two or three values down<br> Syntax :<br> <table border=1><tr><td>DUP_X2</td></tr></table><br> Operand stack : <table border=1><tr><td>.., value3, value2, value1 => ..., value1, value3, value2, value1</td></tr></table><br> Where : <ul> <li>value1 : value to duplicate</li> <li>value2 : value to just move</li> <li>value3 : value to just move</li> </ul> <br> Details: value1, value2 and value3 can't be double or long <br> <br> <h1><b>OR</b></h1> <br> Operand stack : <table border=1><tr><td>.., value2, value1 => ..., value1, value2, value1</td></tr></table><br> Where : <ul> <li>value1 : value to duplicate</li> <li>value2 : value to just move</li> </ul> <br> Details: value1 not a long nor double, value2 double or long</html>
DUP2|Duplicate stack|<html> Description : Duplicate the top one or two operand stack values<br> Syntax :<br> <table border=1><tr><td>DUP2</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value2, value1 => ..., value2, value1, value2, value1</td></tr></table><br> Where : <ul> <li>value1 : value to duplicate</li> <li>value2 : value to duplicate</li> </ul> <br> Details:value1 and value2 can't be double or long<br> <br> <h1><b>OR</b></h1> <br> Operand stack : <table border=1><tr><td>..., value => ...,value, value</td></tr></table><br> Where <ul> <li>value : value to duplicate</li> * </ul> <br> Details:value double or long</html>
DUP2_X1|Duplicate stack|<html> Description : Duplicate the top one or two operand stack values and insert two or three values down<br> Syntax :<br> <table border=1><tr><td>DUP2_X1</td></tr></table><br> Operand stack : <table border=1><tr><td>.., value3, value2, value1 => ..., value2, value1, value3, value2, value1</td></tr></table><br> Where : <ul> <li>value1 : value to duplicate</li> <li>value2 : value to duplicate</li> <li>value3 : value to just move</li> </ul> Details: value1, value2 and value3 not long nor double<br> <br> <h1><b>OR</b></h1> <br> Operand stack : <table border=1><tr><td>..., value2, value1 => ..., value1, value2, value1</td></tr></table><br> Where <ul> <li>value1 : value to duplicate</li> <li>value2 : value to just move</li> </ul> Details: value1 long or double and value2 not long nor double</html>
DUP2_X2|Duplicate stack|<html> Description : Duplicate the top one or two operand stack values and insert two, three, or four values down<br> Syntax :<br> <table border=1><tr><td>DUP2_X2</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value4, value3, value2, value1 => ..., value2, value1, value4, value3, value2, value1</td></tr></table><br> Where : <ul> <li>value1 : not long nor double</li> <li>value2 : not long nor double</li> <li>value3 : not long nor double</li> <li>value4 : not long nor double</li> </ul> <br> <h1><b>OR</b></h1> <br> Operand stack : <table border=1><tr><td>..., value3, value2, value1 => ..., value1, value3, value2, value1</td></tr></table> <br> Where : <ul> <li>value1 : long or double</li> <li>value2 : not long nor double</li> <li>value3 : not long nor double</li> </ul> <br> <h1><b>OR</b></h1> <br> Operand stack : <table border=1><tr><td>..., value3, value2, value1 => ..., value2, value1, value3, value2, value1</td></tr></table> <br> Where : <ul> <li>value1 : not long nor double</li> <li>value2 : not long nor double</li> <li>value3 : long or double</li> </ul> <br> <h1><b>OR</b></h1> <br> Operand stack : <table border=1><tr><td>..., value2, value1 => ..., value1, value2, value1</td></tr></table> <br> Where : <ul> <li>value1 : long or double</li> <li>value2 : long or double</li> </ul></html>
F2D|float to double|<html> Description : Convert float to double<br> Syntax :<br> <table border=1><tr><td>F2D</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value => ..., result</td></tr></table><br> Where : <ul> <li>value : Value to convert (float)</li> <li>result : Converted value (double)</li> </ul></html>
F2I|float to int|<html> Description : Convert float to int<br> Syntax :<br> <table border=1><tr><td>F2I</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value => ..., result</td></tr></table><br> Where : <ul> <li>value : Value to convert (float)</li> <li>result : Converted value (int)</li> </ul> Details: <ul> <li>If the value' is NaN, the result of the conversion is an int 0</li> <li>Otherwise, if the value' is not an infinity, it is rounded to an integer value V, rounding towards zero using IEEE 754 round towards zero mode. If this integer value V can be represented as an int, then the result is the int value V.</li> <li>Otherwise, either the value' must be too small (a negative value of large magnitude or negative infinity), and the result is the smallest representable value of type int, or the value' must be too large (a positive value of large magnitude or positive infinity), and the result is the largest representable value of type int.</li> </ul></html>
F2L|float to long|<html> Description : Convert float to long<br> Syntax :<br> <table border=1><tr><td>F2L</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value => ..., result</td></tr></table><br> Where : <ul> <li>value : Value to convert (float)</li> <li>result : Converted value (long)</li> </ul> Details: <ul> <li>If the value' is NaN, the result of the conversion is a long 0.</li> <li>Otherwise, if the value' is not an infinity, it is rounded to an integer value V, rounding towards zero using IEEE 754 round towards zero mode. If this integer value V can be represented as a long, then the result is the long value V.</li> <li>Otherwise, either the value' must be too small (a negative value of large magnitude or negative infinity), and the result is the smallest representable value of type long, or the value' must be too large (a positive value of large magnitude or positive infinity), and the result is the largest representable value of type long.</li> </ul></html>
FADD|Addition of float|<html> Description : Add float<br> Syntax :<br> <table border=1><tr><td>FADD</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first float</li> <li>value2 : second float</li> <li>result : addition result (float)</li> </ul></html>
FALOAD|Load float from array|<html> Description : Load float from array<br> Syntax :<br> <table border=1><tr><td>FALOAD</td></tr></table><br> Operand stack : <table border=1><tr><td>..., arrayref, index => ..., value</td></tr></table><br> Where : <ul> <li>arrayref: Reference to array</li> <li>index : Array index (int)</li> <li>value : Value in array at given index (float)</li> </ul></html>
FASTORE|Store float in array|<html> Description :Store into float array<br> Syntax :<br> <table border=1><tr><td>FASTORE</td></tr></table><br> Operand stack : <table border=1><tr><td>..., arrayref, index, value => ...</td></tr></table><br> Where : <ul> <li>arrayref: Reference to array</li> <li>index : Array index (int)</li> <li>value : Value to put in array at given index (float)</li> </ul></html>
FCMPG|Compare float|<html> Description : Compare float (Great NaN)<br> Syntax :<br> <table border=1><tr><td>FCMPG</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., resul</td></tr></table>t<br> Where : <ul> <li>value1 : first float</li> <li>value2 : second float</li> <li>result : comparison result (int)</li> </ul> Details: <ul> <li>If value1' is greater than value2', the int value 1 is pushed onto the operand stack.</li> <li>Otherwise, if value1' is equal to value2', the int value 0 is pushed onto the operand stack.</li> <li>Otherwise, if value1' is less than value2', the int value -1 is pushed onto the operand stack.</li> <li>Otherwise, at least one of value1' or value2' is NaN. The instruction pushes the int value 1 onto the operand stack </li> </ul></html>
FCMPL|Compare float|<html> Description : Compare float (Low NaN)<br> Syntax :<br> <table border=1><tr><td>FCMPL</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first float</li> <li>value2 : second float</li> <li>result : comparison result (int)</li> </ul> Details: <ul> <li>If value1' is greater than value2', the int value 1 is pushed onto the operand stack.</li> <li>Otherwise, if value1' is equal to value2', the int value 0 is pushed onto the operand stack.</li> <li>Otherwise, if value1' is less than value2', the int value -1 is pushed onto the operand stack.</li> <li>Otherwise, at least one of value1' or value2' is NaN. The instruction pushes the int value -1 onto the operand stack </li> </ul></html>
FCONST|Push 0, 1 or 2|<html> Description : Push float constant 0,1 or 2<br> Syntax :<br> <table border=1><tr><td>FCONST &lt;value&gt;</td></tr></table><br> Where : <ul> <li>value : value to push 0, 1 or 2</li> </ul> <br> Operand stack : <table border=1><tr><td>... => ..., value</td></tr></table><br> Where : <ul> <li>value : value pushed 0, 1 or 2 (float)</li> </ul></html>
FDIV|Division of float|<html> Description : Divide float<br> Syntax :<br> <table border=1><tr><td>FDIV</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first float</li> <li>value2 : second float</li> <li>result : division result (float)</li> </ul></html>
FLOAD|Load local variable|<html> Description : Load float from local variable<br> Syntax :<br> <table border=1><tr><td>FLOAD &lt;name&gt;</td></tr></table><br> Where : <ul> <li>name : Current method variable name OR current method parameter name</li> </ul> <br> Operand stack : <table border=1><tr><td>... => ..., value</td></tr></table><br> Where : <ul> <li>value : value of the method variable or parameter</li> </ul> <br> Details: If <table border=1><tr><td>name</td></tr></table> is a method variable name, the corresponding variable must have previously initialized (Even with 0)</html>
FMUL|Multiplication of float|<html> Description : Multiply float<br> Syntax :<br> <table border=1><tr><td>FMUL</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first float</li> <li>value2 : second float</li> <li>result : multiplication result (float)</li> </ul></html>
FNEG|Negate float|<html> Description : Negate float<br> Syntax :<br> <table border=1><tr><td>FNEG</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value => ..., result</td></tr></table><br> Where : <ul> <li>value : float to negate</li> <li>result : negated float</li> </ul></html>
FREM|Remainder of float|<html> Description : Remainder float<br> Syntax :<br> <table border=1><tr><td>FREM</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first float</li> <li>value2 : second float</li> <li>result : remainder result (float)</li> </ul></html>
FRETURN|Return float|<html> Description : Return float from method<br> Syntax :<br> <table border=1><tr><td>FRETURN</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value => [empty]</td></tr></table><br> Where : <ul> <li>value : vlaue to return (float)</li> </ul></html>
FSTORE|Store in local variable|<html> Description : Store float to local variable<br> Syntax :<br> <table border=1><tr><td>FSTORE &lt;name&gt;</td></tr></table><br> Where : <ul> <li>name : Current method variable name OR current method parameter name</li> </ul> Operand stack : <table border=1><tr><td>...,value => ...</td></tr></table><br> Where : <ul> <li>value : value to store in the method variable or parameter</li> </ul></html>
FSUB|Subtract float|<html> Description : Subtract float<br> Syntax :<br> <table border=1><tr><td>FMUL</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., result</td></tr></table><br> Where : <ul> <li>value1 : first float</li> <li>value2 : second float</li> <li>result : subtraction result (float)</li> </ul></html>
GETFIELD|Obtain field|<html> Description : Fetch field from object<br> Syntax :<br> <table border=1><tr><td>GETFIELD &lt;fieldName&gt;</td></tr></table><br> Where : <ul> <li>fieldName : Name/alias of the field to get the value</li> </ul> <br> Operand stack : <table border=1><tr><td>..., objectref => ..., value</td></tr></table><br> Where : <ul> <li>objectref : reference to the object.</li> <li>value : field value</li> </ul></html>
GETSTATIC|Obtain field|<html> Description : Get static field from class<br> Syntax :<br> <table border=1><tr><td>GETSTATIC  &lt;fieldName&gt;</td></tr></table><br> Where : <ul> <li>fieldName : Name/alias of the field to get the value</li> </ul> <br> Operand stack : <table border=1><tr><td>... => ..., value</td></tr></table><br> Where : <ul> <li>value : field value</li> </ul></html>
GOTO|Go to label|<html> Description : Branch always<br> Syntax :<br> <table border=1><tr><td>GOTO &lt;label&gt;</td></tr></table><br> Where : <ul> <li>label : Label name to go</li> </ul> Operand stack : <table border=1><tr><td>No change</td></tr></table><br> Details: Be sure the label is declare somewhere in the method with <i>LABEL</i></html>
GOTO_W|Go to label|<html> Description : Branch always<br> Syntax :<br> <table border=1><tr><td>GOTO_W &lt;label&gt;</td></tr></table><br> Where : <ul> <li>label : Label name to go</li> </ul> Operand stack : <table border=1><tr><td>No change</td></tr></table><br> Details: Be sure the label is declare somewhere in the method with <i>LABEL</i><br> This instruction designed for big jump, but <i>GOTO</i> here auto transform in <i>GOTO_W</i> if jump is to big, so use <i>GOTO</i> and let compiler manage by it self</html>
I2B|int to bye|<html> Description : Convert int to byte<br> Syntax :<br> <table border=1><tr><td>I2B</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value => ..., result</td></tr></table><br> Where : <ul> <li>value : value to convert (int)</li> <li>result : converted value (int)</li> </ul> Details: Truncated to a byte then sign-extended to an int result</html>
I2C|int to char|<html> Description :Convert int to char<br> Syntax :<br> <table border=1><tr><td>I2C</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value => ..., result</td></tr></table><br> Where : <ul> <li>value : value to convert (int)</li> <li>result : converted value (int)</li> </ul> Details: Truncated to char, then zero-extended to an int result</html>
I2D|int to double|<html> Description : Convert int to double<br> Syntax :<br> <table border=1><tr><td>I2D</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value => ..., result</td></tr></table><br> Where : <ul> <li>value : value to convert (int)</li> <li>result : converted value (double)</li> </ul></html>
I2F|int to float|<html> Description : Convert int to float<br> Syntax :<br> <table border=1><tr><td>I2F</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value => ..., result</td></tr></table><br> Where : <ul> <li>value : value to convert (int)</li> <li>result : converted value (float)</li> </ul></html>
